code,bs_code,name,requested_until,updated_at
000922,sz.000922,佳电股份,2026-06-08,2026-06-08 00:52:17
000923,sz.000923,河钢资源,2026-06-08,2026-06-08 00:52:17
000925,sz.000925,众合科技,2026-06-08,2026-06-08 00:52:17
000926,sz.000926,福星股份,2026-06-08,2026-06-08 00:52:17
000927,sz.000927,中国铁物,2026-06-08,2026-06-08 00:52:17
000928,sz.000928,中钢国际,2026-06-08,2026-06-08 00:52:17
000929,sz.000929,*ST兰黄,2026-06-08,2026-06-08 00:52:17
000930,sz.000930,中粮科技,2026-06-08,2026-06-08 00:52:17
000931,sz.000931,中关村,2026-06-08,2026-06-08 00:52:17
000932,sz.000932,华菱钢铁,2026-06-08,2026-06-08 00:52:17
000933,sz.000933,神火股份,2026-06-08,2026-06-08 00:52:17
000935,sz.000935,四川双马,2026-06-08,2026-06-08 00:52:17
000936,sz.000936,华西股份,2026-06-08,2026-06-08 00:52:17
000937,sz.000937,冀中能源,2026-06-08,2026-06-08 00:52:17
000938,sz.000938,紫光股份,2026-06-08,2026-06-08 00:52:17
000948,sz.000948,南天信息,2026-06-08,2026-06-08 00:52:17
000949,sz.000949,新乡化纤,2026-06-08,2026-06-08 00:52:17
000950,sz.000950,重药控股,2026-06-08,2026-06-08 00:52:17
000951,sz.000951,中国重汽,2026-06-08,2026-06-08 00:52:17
000952,sz.000952,广济药业,2026-06-08,2026-06-08 00:52:17
000953,sz.000953,中哲精化,2026-06-08,2026-06-08 00:52:17
000955,sz.000955,欣龙控股,2026-06-08,2026-06-08 00:52:17
000957,sz.000957,中通客车,2026-06-08,2026-06-08 00:52:17
000958,sz.000958,电投产融,2026-06-08,2026-06-08 00:52:17
000959,sz.000959,首钢股份,2026-06-08,2026-06-08 00:52:17
000960,sz.000960,锡业股份,2026-06-08,2026-06-08 00:52:17
000962,sz.000962,东方钽业,2026-06-08,2026-06-08 00:52:17
000963,sz.000963,华东医药,2026-06-08,2026-06-08 00:52:17
000965,sz.000965,天保基建,2026-06-08,2026-06-08 00:52:17
000966,sz.000966,长源电力,2026-06-08,2026-06-08 00:52:17
000967,sz.000967,盈峰环境,2026-06-08,2026-06-08 00:52:17
000968,sz.000968,蓝焰控股,2026-06-08,2026-06-08 00:52:17
000969,sz.000969,安泰科技,2026-06-08,2026-06-08 00:52:17
000970,sz.000970,中科三环,2026-06-08,2026-06-08 00:52:17
000972,sz.000972,*ST中基,2026-06-08,2026-06-08 00:52:17
